callID,vapiCallDuration,lastMessageTimeStamp,difference,startedAt,endedAt,endedReason
"=HYPERLINK(""https://hellocounsel-dashboard.vercel.app/calls?f=0&e=production&s=N4IgJgtiBcIJ4FMDOAXBAnMBDOIA0ISYMIATAAykBsAtOQIw2kAs%2BICxsF1djAzPRABfIA&c=019c23ee-6b4f-7dda-9cd2-a2ec60847e31"", ""019c23ee-6b4f-7dda-9cd2-a2ec60847e31"")",67.711,67.553,0.15800000000000125,2026-02-03T14:35:56.087Z,2026-02-03T14:37:03.798Z,assistant-forwarded-call
"=HYPERLINK(""https://hellocounsel-dashboard.vercel.app/calls?f=0&e=production&s=N4IgJgtiBcIJ4FMDOAXBAnMBDOIA0ISYMIATAAykBsAtOQIw2kAs%2BICxsF1djAzPRABfIA&c=019c23e7-055c-7aa8-bd63-8a954c5199b6"", ""019c23e7-055c-7aa8-bd63-8a954c5199b6"")",86.608,31.682,54.926,2026-02-03T14:27:50.151Z,2026-02-03T14:29:16.759Z,assistant-forwarded-call
"=HYPERLINK(""https://hellocounsel-dashboard.vercel.app/calls?f=0&e=production&s=N4IgJgtiBcIJ4FMDOAXBAnMBDOIA0ISYMIATAAykBsAtOQIw2kAs%2BICxsF1djAzPRABfIA&c=019c23e6-28e5-7bb9-a2f5-5728e2b72dd2"", ""019c23e6-28e5-7bb9-a2f5-5728e2b72dd2"")",57.742,57.59,0.15199999999999392,2026-02-03T14:26:54.042Z,2026-02-03T14:27:51.784Z,assistant-forwarded-call
"=HYPERLINK(""https://hellocounsel-dashboard.vercel.app/calls?f=0&e=production&s=N4IgJgtiBcIJ4FMDOAXBAnMBDOIA0ISYMIATAAykBsAtOQIw2kAs%2BICxsF1djAzPRABfIA&c=019c23df-b0d3-7888-889a-e803f2f681ae"", ""019c23df-b0d3-7888-889a-e803f2f681ae"")",7.473,5.757,1.7160000000000002,2026-02-03T14:19:50.304Z,2026-02-03T14:19:57.777Z,customer-ended-call
"=HYPERLINK(""https://hellocounsel-dashboard.vercel.app/calls?f=0&e=production&s=N4IgJgtiBcIJ4FMDOAXBAnMBDOIA0ISYMIATAAykBsAtOQIw2kAs%2BICxsF1djAzPRABfIA&c=019c23b0-104a-7cc9-a3c2-9490d53edd67"", ""019c23b0-104a-7cc9-a3c2-9490d53edd67"")",48.234,48.089,0.14500000000000313,2026-02-03T13:27:49.226Z,2026-02-03T13:28:37.460Z,assistant-forwarded-call
"=HYPERLINK(""https://hellocounsel-dashboard.vercel.app/calls?f=0&e=production&s=N4IgJgtiBcIJ4FMDOAXBAnMBDOIA0ISYMIATAAykBsAtOQIw2kAs%2BICxsF1djAzPRABfIA&c=019c2354-0c05-711c-a018-93354c3e5371"", ""019c2354-0c05-711c-a018-93354c3e5371"")",128.19,128.159,0.03100000000000591,2026-02-03T11:47:18.609Z,2026-02-03T11:49:26.799Z,customer-ended-call
"=HYPERLINK(""https://hellocounsel-dashboard.vercel.app/calls?f=0&e=production&s=N4IgJgtiBcIJ4FMDOAXBAnMBDOIA0ISYMIATAAykBsAtOQIw2kAs%2BICxsF1djAzPRABfIA&c=019c214e-0d09-7aa0-8ab3-9bcff7359b1f"", ""019c214e-0d09-7aa0-8ab3-9bcff7359b1f"")",0.318,0,0.318,2026-02-03T02:21:31.369Z,2026-02-03T02:21:31.687Z,customer-ended-call
"=HYPERLINK(""https://hellocounsel-dashboard.vercel.app/calls?f=0&e=production&s=N4IgJgtiBcIJ4FMDOAXBAnMBDOIA0ISYMIATAAykBsAtOQIw2kAs%2BICxsF1djAzPRABfIA&c=019c2095-6182-799c-a04f-603bedf80bf9"", ""019c2095-6182-799c-a04f-603bedf80bf9"")",90.308,90.012,0.2960000000000065,2026-02-02T22:59:48.543Z,2026-02-02T23:01:18.851Z,assistant-forwarded-call
"=HYPERLINK(""https://hellocounsel-dashboard.vercel.app/calls?f=0&e=production&s=N4IgJgtiBcIJ4FMDOAXBAnMBDOIA0ISYMIATAAykBsAtOQIw2kAs%2BICxsF1djAzPRABfIA&c=019c2084-9308-7ffe-ac66-558db5cf996d"", ""019c2084-9308-7ffe-ac66-558db5cf996d"")",17.858,14.625,3.2330000000000005,2026-02-02T22:41:28.019Z,2026-02-02T22:41:45.877Z,customer-ended-call
"=HYPERLINK(""https://hellocounsel-dashboard.vercel.app/calls?f=0&e=production&s=N4IgJgtiBcIJ4FMDOAXBAnMBDOIA0ISYMIATAAykBsAtOQIw2kAs%2BICxsF1djAzPRABfIA&c=019c207e-00c3-7886-b409-00909a3b5256"", ""019c207e-00c3-7886-b409-00909a3b5256"")",202.53,30.706,171.824,2026-02-02T22:34:16.495Z,2026-02-02T22:37:39.025Z,customer-ended-call
"=HYPERLINK(""https://hellocounsel-dashboard.vercel.app/calls?f=0&e=production&s=N4IgJgtiBcIJ4FMDOAXBAnMBDOIA0ISYMIATAAykBsAtOQIw2kAs%2BICxsF1djAzPRABfIA&c=019c2078-02f7-7eed-8251-547bb1255fd7"", ""019c2078-02f7-7eed-8251-547bb1255fd7"")",57.079,37.181,19.898000000000003,2026-02-02T22:27:43.470Z,2026-02-02T22:28:40.549Z,customer-ended-call
